score,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18
13.656375504760543,TEN,GB,LAC,PHI,TB,IND,DEN,DAL,CIN,KC,NE,MIA,MIN,BUF,WSH,BAL,SEA,NO
13.65406444781952,TEN,LAR,SEA,PHI,KC,GB,CIN,DEN,LAC,NYG,BUF,MIA,MIN,DAL,NO,BAL,TB,IND
13.650887020557464,WSH,LAR,LAC,PHI,TB,GB,CIN,DAL,BUF,KC,BAL,MIA,CLE,TEN,NO,MIN,SEA,IND
13.646044164906208,TEN,LAR,LAC,PHI,MIN,GB,CIN,DEN,ARI,NYG,BUF,MIA,CLE,DAL,NO,KC,TB,IND
13.644156222184922,TEN,SF,LAC,PHI,GB,LAR,DEN,DAL,CIN,KC,BAL,MIA,CLE,BUF,NO,MIN,TB,IND
13.635048819868066,TEN,LAR,SEA,LAC,TB,GB,DEN,PHI,CIN,KC,BUF,MIA,MIN,DAL,NO,BAL,ARI,IND
13.621100271042458,TEN,LAR,SEA,PHI,MIN,GB,CIN,DAL,LAC,NYG,BAL,MIA,CLE,BUF,NO,KC,TB,IND
13.618669457736791,TEN,LAR,SEA,PHI,NE,GB,CIN,DAL,LAC,KC,BAL,MIA,CLE,BUF,NO,MIN,TB,IND
13.573925749062914,TEN,LAR,LAC,PHI,BUF,GB,CIN,DEN,KC,NYG,BAL,MIA,CLE,DAL,NO,MIN,TB,IND
13.56598138106624,WSH,LAR,LAC,PHI,GB,IND,CIN,DEN,BUF,KC,BAL,DAL,MIN,TEN,NO,SF,TB,MIA
13.562001198429341,WSH,SF,MIN,PHI,GB,IND,CIN,DEN,LAC,KC,BAL,DAL,LAR,BUF,NO,TEN,TB,MIA
13.55948810511009,TEN,LAR,LAC,PHI,TB,IND,CIN,DEN,GB,NYG,BUF,MIA,MIN,DAL,KC,BAL,SEA,NO
13.528725981705719,TEN,DEN,LAC,PHI,GB,IND,CIN,MIN,KC,NYG,BUF,WSH,LAR,DAL,NO,BAL,TB,MIA
13.484753293851918,TEN,LAR,LAC,PHI,GB,IND,DEN,DAL,CIN,NYG,BUF,WSH,MIN,ARI,NO,KC,TB,MIA
13.463104722528929,LAC,GB,MIN,PHI,TB,IND,CIN,DAL,BUF,KC,BAL,WSH,LAR,TEN,NO,SF,SEA,MIA
