Score,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
1403,WAS,BUF,CIN,LAC,PHI,JAX,SEA,BLT,CLV,PIT,SF,DAL,NYJ,MIA,TEN,KC,NYG,NO
1403,WAS,BUF,DAL,LAC,CIN,JAX,SEA,BLT,CLV,PIT,MIA,NO,TEN,NYJ,GB,KC,PHI,SF
1402,WAS,BUF,DAL,SF,CIN,JAX,SEA,BLT,CLV,LAC,MIA,TEN,NYJ,NO,PIT,KC,PHI,DEN
1402,BLT,DEN,DAL,PHI,CIN,JAX,SEA,BUF,NE,LAC,MIA,NO,PIT,NYJ,CLV,KC,NYG,SF
1402,WAS,BUF,DAL,PHI,DET,JAX,SEA,BLT,CLV,LAC,MIA,NO,NYJ,CIN,PIT,KC,NYG,SF
1402,BLT,DEN,DAL,PHI,CIN,JAX,SEA,BUF,NE,LAC,MIA,NO,PIT,NYJ,CLV,KC,NYG,SF
1402,WAS,NYG,DAL,LAC,CIN,MIA,SEA,BUF,NE,PIT,DET,JAX,NYJ,BLT,CLV,KC,PHI,SF
1402,WAS,BUF,DAL,PHI,DET,JAX,SEA,LAC,CLV,CIN,MIA,KC,PIT,BLT,TEN,NYJ,NYG,SF
1402,WAS,BUF,DET,LAC,CIN,JAX,SEA,DAL,CLV,PIT,MIA,TEN,NYJ,BLT,GB,KC,PHI,SF
1402,WAS,BUF,DAL,PHI,DET,JAX,SEA,BLT,CLV,LAC,MIA,TEN,NYJ,CIN,PIT,KC,NYG,SF
1402,WAS,BUF,DAL,PHI,CIN,JAX,SEA,BLT,CLV,LAC,SF,TEN,NYJ,MIA,PIT,KC,NYG,NO
1402,BLT,NYG,DAL,LAC,CIN,JAX,SEA,BUF,CLV,PIT,MIA,KC,NYJ,NO,TEN,CHI,PHI,SF
1402,WAS,NYG,DAL,SF,DET,JAX,SEA,BLT,CLV,BUF,MIA,KC,PIT,CIN,LAC,NYJ,PHI,NO
1402,WAS,NYG,DAL,LAC,CIN,JAX,SEA,BLT,CLV,BUF,SF,TEN,NYJ,MIA,PIT,KC,PHI,NO
1401,WAS,NYG,BLT,SF,CIN,JAX,SEA,BUF,CLV,DAL,MIA,KC,PIT,NYJ,LAC,CHI,PHI,NO
1401,SEA,DEN,DAL,LAC,PHI,JAX,PIT,BUF,CLV,CIN,MIA,NO,NYJ,BLT,TEN,KC,NYG,SF
1401,WAS,BUF,DAL,PHI,CIN,MIA,SEA,BLT,NE,LAC,SF,JAX,PIT,NYJ,CLV,KC,NYG,NO
1401,WAS,NYG,DAL,SF,CIN,MIA,SEA,BLT,NE,BUF,LAC,JAX,PIT,NYJ,CLV,KC,PHI,NO
1401,WAS,BUF,BLT,PHI,CIN,JAX,SEA,LAC,CLV,NE,MIA,DAL,KC,NYJ,PIT,NO,NYG,SF
1401,BLT,NYG,DAL,SF,DET,JAX,SEA,BUF,NE,LAC,MIA,KC,PIT,CIN,CLV,NYJ,PHI,NO
1401,BLT,BUF,DAL,PHI,CIN,MIA,SEA,LAC,CLV,NE,SF,JAX,PIT,NYJ,TEN,KC,NYG,NO
1401,WAS,BUF,BLT,PHI,CIN,JAX,SEA,LAC,CLV,NE,MIA,DAL,KC,NYJ,PIT,NO,NYG,SF
1401,WAS,NYG,BLT,SF,CIN,JAX,SEA,BUF,NE,LAC,MIA,TEN,PIT,NYJ,CLV,KC,PHI,DAL
1401,BLT,NYG,DAL,SF,CIN,JAX,SEA,BUF,CLV,LAC,DET,TEN,NYJ,MIA,PIT,KC,PHI,NO
1401,WAS,NYG,DAL,LAC,CIN,JAX,SEA,BUF,BLT,NE,MIA,TEN,PIT,NYJ,CLV,KC,PHI,SF
1401,WAS,BUF,JAX,SF,CIN,MIA,SEA,DAL,CLV,LAC,DET,TEN,NYJ,BLT,PIT,KC,PHI,NO
1401,BLT,NYG,DAL,SF,DET,JAX,SEA,BUF,NE,LAC,MIA,KC,PIT,CIN,CLV,NYJ,PHI,NO
1400,WAS,NYG,JAX,PHI,CIN,MIA,SEA,BUF,CLV,LAC,SF,DAL,NYJ,BLT,PIT,KC,CHI,NO
1400,SEA,NYG,JAX,SF,CIN,MIA,PIT,BUF,CLV,NE,DET,DAL,NYJ,BLT,LAC,KC,PHI,NO
1400,WAS,NYG,BLT,LAC,CIN,MIA,SEA,BUF,CLV,DAL,SF,JAX,PIT,NYJ,TEN,KC,PHI,NO
1400,WAS,NYG,DAL,SF,PHI,LAR,SEA,BUF,CLV,CIN,MIA,TEN,NYJ,BLT,PIT,KC,JAX,NO
1400,BLT,BUF,DET,SF,CIN,JAX,SEA,DAL,NE,LAC,MIA,TEN,PIT,NYJ,CLV,KC,PHI,NO
1400,BLT,DEN,DAL,PHI,CIN,JAX,SEA,BUF,CLV,NE,MIA,NO,NYJ,LAC,PIT,KC,NYG,SF
1400,WAS,BUF,DAL,SF,CIN,JAX,SEA,TEN,CLV,LAC,MIA,KC,NYJ,BLT,PIT,CHI,PHI,NO
1400,WAS,BUF,DAL,PHI,DET,JAX,SEA,BLT,CLV,LAC,MIA,KC,PIT,CIN,TEN,NYJ,NYG,SF
1400,BLT,DEN,DAL,PHI,CIN,JAX,SEA,BUF,CLV,LAC,MIA,TEN,PIT,NYJ,SF,KC,NYG,NO
1400,BLT,NYG,DAL,SF,DET,JAX,SEA,BUF,CLV,LAC,MIA,KC,NYJ,CIN,PIT,CHI,PHI,NO
1400,BLT,BUF,CIN,LAC,PHI,JAX,SEA,DAL,CLV,NE,SF,TEN,NYJ,MIA,PIT,KC,NYG,NO
1399,KC,BUF,DAL,LAC,PHI,JAX,SEA,BLT,NE,CIN,MIA,TEN,PIT,NYJ,CLV,NO,NYG,SF
1399,WAS,DEN,BLT,LAC,PHI,JAX,SEA,BUF,CLV,CIN,DET,DAL,NYJ,MIA,PIT,KC,NYG,SF
1399,WAS,BUF,DAL,PHI,CIN,JAX,SEA,LAC,CLV,PIT,MIA,KC,TEN,BLT,GB,NYJ,NYG,SF
1399,BLT,NYG,CIN,SF,PHI,MIA,SEA,BUF,CLV,NE,DAL,TEN,PIT,NYJ,LAC,KC,JAX,NO
1399,KC,BUF,DAL,SF,PHI,JAX,SEA,LAC,CLV,CIN,MIA,TEN,NYJ,BLT,PIT,CHI,NYG,NO
1399,WAS,NYG,DAL,SF,CIN,BUF,SEA,LAC,NE,PIT,MIA,KC,CLV,BLT,TEN,NYJ,PHI,NO
1399,KC,BUF,CIN,SF,PHI,JAX,SEA,DAL,NE,LAC,MIA,TEN,PIT,BLT,CLV,NYJ,NYG,NO
1399,WAS,BUF,JAX,PHI,CIN,LAR,SEA,DAL,CLV,LAC,MIA,NO,NYJ,BLT,PIT,KC,NYG,SF
1399,BLT,NYG,DAL,LAC,CIN,JAX,SEA,BUF,CLV,PIT,SF,TEN,NYJ,MIA,GB,KC,PHI,NO
1399,KC,BUF,CIN,SF,PHI,JAX,SEA,BLT,GB,NE,MIA,DAL,PIT,NYJ,LAC,CLV,NYG,NO
1399,WAS,NYG,JAX,LAC,CIN,LAR,SEA,DAL,CLV,BUF,MIA,NO,NYJ,BLT,PIT,KC,PHI,SF
1398,WAS,BUF,DAL,SF,DET,MIA,SEA,BLT,NE,CIN,LAC,JAX,PIT,NYJ,CLV,KC,PHI,NO
1398,BLT,BUF,DET,SF,CIN,JAX,SEA,DAL,CLV,NE,MIA,TEN,NYJ,LAC,PIT,KC,PHI,NO
1398,BLT,BUF,CIN,LAC,PHI,JAX,SEA,DAL,NE,PIT,MIA,NO,CLV,NYJ,TEN,KC,NYG,SF
1398,BLT,BUF,CIN,LAC,PHI,JAX,SEA,DAL,NE,PIT,MIA,NO,CLV,NYJ,TEN,KC,NYG,SF
1398,BLT,BUF,DAL,PHI,DET,JAX,SEA,LAC,CLV,CIN,MIA,NO,PIT,NYJ,TEN,KC,NYG,SF
1398,WAS,BUF,CLV,SF,CIN,JAX,SEA,LAC,NE,CHI,MIA,DAL,NYJ,BLT,PIT,KC,PHI,NO
1398,BLT,BUF,DET,PHI,CIN,JAX,SEA,DAL,CLV,LAC,MIA,TEN,NYJ,NO,PIT,KC,NYG,SF
1398,WAS,BUF,JAX,PHI,CIN,MIA,SEA,BLT,CLV,LAC,DET,DAL,NYJ,NO,PIT,KC,NYG,SF
1398,WAS,NYG,CIN,LAC,MIA,JAX,SEA,DAL,CLV,BUF,SF,TEN,NYJ,BLT,PIT,KC,PHI,NO
1398,WAS,BUF,DAL,LAC,CIN,MIA,SEA,BLT,NE,CHI,SF,JAX,PIT,NYJ,CLV,KC,PHI,NO
1398,BLT,BUF,CIN,LAC,PHI,JAX,SEA,DAL,NE,PIT,MIA,NO,CLV,NYJ,TEN,KC,NYG,SF
1398,WAS,NYG,CIN,SF,PHI,JAX,SEA,DAL,CLV,BUF,MIA,KC,PIT,BLT,LAC,NYJ,MIN,NO
1398,WAS,BUF,JAX,SF,DET,MIA,SEA,BLT,NE,CIN,LAC,DAL,PIT,NYJ,CLV,KC,PHI,NO
